DATE,SPX Close,VIX CLOSE,Predicted Price,minus,signal,7 day price,delta VIX,delta SPX,比率,buy price,7 day - buy price,buy-7day,CALL上次交易日期,CALL可交易訊號,CALL實際交易,CALL收益率,CALL累積收益率,call手續費,CALL交易次數,PUT上次交易日期,PUT可交易訊號,PUT實際交易,PUT收益率,PUT累積收益率,put 手續費,PUT交易次數
2010/1/4,1132.98999,20.04,26.48997753,-6.449977533,PUT,1146.97998,20.04,1132.98999,56.53642665,1127.98999,,,1900/1/0,可交易,,,1,0,0,2010/1/4,可交易,,,1,1,0
2010/1/5,1136.52002,19.35,25.79135534,-6.44135534,PUT,1136.219971,-0.69,3.53003,-5.115985507,1131.52002,,,1900/1/0,可交易,,,1,0,0,2010/1/4,不可交易,,,1,1,0
2010/1/6,1137.140015,19.16,25.51216425,-6.352164254,PUT,1145.680054,-0.19,0.619995,-3.263131579,1132.140015,,,1900/1/0,可交易,,,1,0,0,2010/1/4,不可交易,,,1,1,0
2010/1/7,1141.689941,19.06,25.36212221,-6.302122214,PUT,1148.459961,-0.1,4.549926,-45.49926,1136.689941,,,1900/1/0,可交易,,,1,0,0,2010/1/4,不可交易,,,1,1,0
2010/1/8,1144.97998,18.13,27.30923311,-9.179233112,PUT,1136.030029,-0.93,3.290039,-3.537676344,1139.97998,,3.949951,1900/1/0,可交易,,,1,0,0,2010/1/4,不可交易,,,1,1,0
2010/1/11,1146.97998,17.55,26.43884942,-8.888849422,PUT,0,-0.58,2,-3.448275862,1141.97998,,,1900/1/0,可交易,,,1,0,0,2010/1/11,可交易,,,1,2,0
2010/1/12,1136.219971,18.25,26.76579312,-8.515793121,PUT,1150.22998,0.7,-10.760009,-15.37144143,1131.219971,,,1900/1/0,可交易,,,1,0,0,2010/1/11,不可交易,,,1,2,0
2010/1/13,1145.680054,17.85,25.28792234,-7.437922336,PUT,1138.040039,-0.4,9.460083,-23.6502075,1140.680054,,2.640015,1900/1/0,可交易,,,1,0,0,2010/1/11,不可交易,,,1,2,0
2010/1/14,1148.459961,17.63,24.503871,-6.873870998,PUT,1116.47998,-0.22,2.779907,-12.63594091,1143.459961,,26.979981,1900/1/0,可交易,,,1,0,0,2010/1/11,不可交易,,,1,2,0
2010/1/15,1136.030029,17.91,25.31639431,-7.406394315,PUT,1091.76001,0.28,-12.429932,-44.39261429,1131.030029,,39.270019,1900/1/0,可交易,,,1,0,0,2010/1/11,不可交易,,,1,2,0
2010/1/19,1150.22998,17.58,24.02518952,-6.44518952,PUT,1092.170044,-0.33,14.199951,-43.03015455,1145.22998,,53.059936,1900/1/0,可交易,,,1,0,0,2010/1/19,可交易,53.06,0.05,1,2,1
2010/1/20,1138.040039,18.68,24.95938744,-6.279387444,PUT,1097.5,1.1,-12.189941,-11.08176455,1133.040039,,35.540039,1900/1/0,可交易,,,1,0,0,2010/1/19,不可交易,,,1.05,2,1
2010/1/21,1116.47998,22.27,25.19585688,-2.925856881,PUT,1084.530029,3.59,-21.560059,-6.005587465,1111.47998,,26.949951,1900/1/0,可交易,,,1,0,0,2010/1/19,不可交易,,,1.05,2,1
2010/1/22,1091.76001,27.31,25.16931552,2.140684476,CAll,1073.869995,5.04,-24.71997,-4.904755952,1096.76001,,,2010/1/22,可交易,,,1,1,0,2010/1/19,不可交易,,,1.05,2,1
2010/1/25,1096.780029,25.41,26.39367061,-0.983670609,,,-1.9,5.020019,-2.642115263,,,,2010/1/22,不可交易,,,1,1,0,2010/1/19,不可交易,,,1.05,2,1
2010/1/26,1092.170044,24.55,28.40562402,-3.855624025,PUT,1103.319946,-0.86,-4.609985,5.360447674,1087.170044,,,2010/1/22,不可交易,,,1,1,0,2010/1/26,可交易,,,1.05,3,1
2010/1/27,1097.5,23.14,28.86986296,-5.729862955,PUT,1097.280029,-1.41,5.329956,-3.780110638,1092.5,,,2010/1/22,不可交易,,,1,1,0,2010/1/26,不可交易,,,1.05,3,1
2010/1/28,1084.530029,23.73,27.50640377,-3.77640377,PUT,1063.109985,0.59,-12.969971,-21.98300169,1079.530029,,16.420044,2010/1/22,不可交易,,,1,1,0,2010/1/26,不可交易,,,1.05,3,1
2010/1/29,1073.869995,24.62,25.49667933,-0.876679328,,,0.89,-10.660034,-11.97756629,,,,2010/1/22,可交易,,,1,1,0,2010/1/26,不可交易,,,1.05,3,1
2010/2/1,1089.189941,22.59,25.92615723,-3.336157234,PUT,1056.73999,-2.03,15.319946,-7.546771429,1084.189941,,27.449951,2010/1/22,可交易,,,1,1,0,2010/1/26,不可交易,,,1.05,3,1
2010/2/2,1103.319946,21.48,24.75482661,-3.274826613,PUT,1070.52002,-1.11,14.130005,-12.72973423,1098.319946,,27.799926,2010/1/22,可交易,,,1,1,0,2010/2/2,可交易,27.8,0.03,1.05,3,2
2010/2/3,1097.280029,21.6,23.46877439,-1.86877439,PUT,1068.130005,0.12,-6.039917,-50.33264167,1092.280029,,24.150024,2010/1/22,可交易,,,1,1,0,2010/2/2,不可交易,,,1.08,3,2
2010/2/4,1063.109985,26.08,23.22475392,2.855246083,CAll,1078.469971,4.48,-34.170044,-7.627241964,1068.109985,10.36,,2010/2/4,可交易,10.36,0.01,1,1,1,2010/2/2,不可交易,,,1.08,3,2
2010/2/5,1066.189941,26.11,23.73302146,2.376978544,CAll,1075.51001,0.03,3.079956,102.6652,1071.189941,4.32,,2010/2/4,不可交易,,,1.01,1,1,2010/2/2,不可交易,,,1.08,3,2
2010/2/8,1056.73999,26.51,23.47452335,3.035476647,CAll,0,0.4,-9.449951,-23.6248775,1061.73999,,,2010/2/4,不可交易,,,1.01,1,1,2010/2/2,不可交易,,,1.08,3,2
2010/2/9,1070.52002,26,23.3930591,2.606940904,CAll,1094.869995,-0.51,13.78003,-27.01966667,1075.52002,19.35,,2010/2/4,不可交易,,,1.01,1,1,2010/2/2,可交易,,,1.08,3,2
2010/2/10,1068.130005,25.4,23.14091657,2.25908343,CAll,1099.51001,-0.6,-2.390015,3.983358333,1073.130005,26.38,,2010/2/4,不可交易,,,1.01,1,1,2010/2/2,可交易,,,1.08,3,2
2010/2/11,1078.469971,23.96,23.77116805,0.188831945,,,-1.44,10.339966,-7.180531944,,,,2010/2/4,可交易,,,1.01,1,1,2010/2/2,可交易,,,1.08,3,2
2010/2/12,1075.51001,22.73,24.27083347,-1.540833465,PUT,1109.170044,-1.23,-2.959961,2.406472358,1070.51001,,,2010/2/4,可交易,,,1.01,1,1,2010/2/12,可交易,,,1.08,4,2
2010/2/16,1094.869995,22.25,23.44791053,-1.197910531,PUT,1094.599976,-0.48,19.359985,-40.33330208,1089.869995,,,2010/2/4,可交易,,,1.01,1,1,2010/2/12,不可交易,,,1.08,4,2
2010/2/17,1099.51001,21.72,23.01770399,-1.297703991,PUT,1105.23999,-0.53,4.640015,-8.754745283,1094.51001,,,2010/2/4,可交易,,,1.01,1,1,2010/2/12,不可交易,,,1.08,4,2
2010/2/18,1106.75,20.63,24.62062157,-3.990621575,PUT,1102.939941,-1.09,7.23999,-6.642192661,1101.75,,,2010/2/4,可交易,,,1.01,1,1,2010/2/12,不可交易,,,1.08,4,2
2010/2/19,1109.170044,20.02,25.69426307,-5.674263071,PUT,1104.48999,-0.61,2.420044,-3.967285246,1104.170044,,,2010/2/4,可交易,,,1.01,1,1,2010/2/19,可交易,,,1.08,5,2
2010/2/22,1108.01001,19.94,25.3608475,-5.420847502,PUT,1115.709961,-0.08,-1.160034,14.500425,1103.01001,,,2010/2/4,可交易,,,1.01,1,1,2010/2/19,不可交易,,,1.08,5,2
2010/2/23,1094.599976,21.37,25.01254679,-3.642546794,PUT,1118.310059,1.43,-13.410034,-9.377646154,1089.599976,,,2010/2/4,可交易,,,1.01,1,1,2010/2/19,不可交易,,,1.08,5,2
2010/2/24,1105.23999,20.27,25.72669401,-5.456694008,PUT,1118.790039,-1.1,10.640014,-9.67274,1100.23999,,,2010/2/4,可交易,,,1.01,1,1,2010/2/19,不可交易,,,1.08,5,2
2010/2/25,1102.939941,20.1,27.82049938,-7.720499377,PUT,1122.969971,-0.17,-2.300049,13.5297,1097.939941,,,2010/2/4,可交易,,,1.01,1,1,2010/2/19,不可交易,,,1.08,5,2
2010/2/26,1104.48999,19.5,28.51784509,-9.017845091,PUT,1138.699951,-0.6,1.550049,-2.583415,1099.48999,,,2010/2/4,可交易,,,1.01,1,1,2010/2/26,可交易,,,1.08,6,2
2010/3/1,1115.709961,19.26,27.28901529,-8.029015287,PUT,1138.5,-0.24,11.219971,-46.74987917,1110.709961,,,2010/2/4,可交易,,,1.01,1,1,2010/2/26,不可交易,,,1.08,6,2
2010/3/2,1118.310059,19.06,25.61868236,-6.558682362,PUT,1140.449951,-0.2,2.600098,-13.00049,1113.310059,,,2010/2/4,可交易,,,1.01,1,1,2010/2/26,不可交易,,,1.08,6,2
2010/3/3,1118.790039,18.83,24.91253322,-6.08253322,PUT,1145.609985,-0.23,0.47998,-2.086869565,1113.790039,,,2010/2/4,可交易,,,1.01,1,1,2010/2/26,不可交易,,,1.08,6,2
2010/3/4,1122.969971,18.72,24.08042201,-5.360422015,PUT,1150.23999,-0.11,4.179932,-37.99938182,1117.969971,,,2010/2/4,可交易,,,1.01,1,1,2010/2/26,不可交易,,,1.08,6,2
2010/3/5,1138.699951,17.42,23.36527141,-5.945271407,PUT,1149.98999,-1.3,15.72998,-12.09998462,1133.699951,,,2010/2/4,可交易,,,1.01,1,1,2010/3/5,可交易,,,1.08,7,2
2010/3/8,1138.5,17.79,23.05025678,-5.260256784,PUT,1150.51001,0.37,-0.199951,-0.540408108,1133.5,,,2010/2/4,可交易,,,1.01,1,1,2010/3/5,不可交易,,,1.08,7,2
2010/3/9,1140.449951,17.92,23.47948402,-5.559484016,PUT,1159.459961,0.13,1.949951,14.99962308,1135.449951,,,2010/2/4,可交易,,,1.01,1,1,2010/3/5,不可交易,,,1.08,7,2
2010/3/10,1145.609985,18.57,22.2692278,-3.699227803,PUT,1166.209961,0.65,5.160034,7.938513846,1140.609985,,,2010/2/4,可交易,,,1.01,1,1,2010/3/5,不可交易,,,1.08,7,2
2010/3/11,1150.23999,18.06,21.84469954,-3.784699536,PUT,1165.829956,-0.51,4.630005,-9.078441176,1145.23999,,,2010/2/4,可交易,,,1.01,1,1,2010/3/5,不可交易,,,1.08,7,2
2010/3/12,1149.98999,17.58,21.75866141,-4.178661411,PUT,1159.900024,-0.48,-0.25,0.520833333,1144.98999,,,2010/2/4,可交易,,,1.01,1,1,2010/3/12,可交易,,,1.08,8,2
2010/3/15,1150.51001,18,21.75154282,-3.751542817,PUT,1165.810059,0.42,0.52002,1.238142857,1145.51001,,,2010/2/4,可交易,,,1.01,1,1,2010/3/12,不可交易,,,1.08,8,2
2010/3/16,1159.459961,17.69,21.18619164,-3.496191639,PUT,1174.170044,-0.31,8.949951,-28.87080968,1154.459961,,,2010/2/4,可交易,,,1.01,1,1,2010/3/12,不可交易,,,1.08,8,2
2010/3/17,1166.209961,16.91,21.49199505,-4.581995053,PUT,1167.719971,-0.78,6.75,-8.653846154,1161.209961,,,2010/2/4,可交易,,,1.01,1,1,2010/3/12,不可交易,,,1.08,8,2
2010/3/18,1165.829956,16.62,21.11254297,-4.492542969,PUT,1165.72998,-0.29,-0.380005,1.310362069,1160.829956,,,2010/2/4,可交易,,,1.01,1,1,2010/3/12,不可交易,,,1.08,8,2
2010/3/19,1159.900024,16.97,21.88492535,-4.914925354,PUT,1166.589966,0.35,-5.929932,-16.94266286,1154.900024,,,2010/2/4,可交易,,,1.01,1,1,2010/3/19,可交易,,,1.08,9,2
2010/3/22,1165.810059,16.87,23.39640532,-6.526405324,PUT,1173.219971,-0.1,5.910035,-59.10035,1160.810059,,,2010/2/4,可交易,,,1.01,1,1,2010/3/19,不可交易,,,1.08,9,2
2010/3/23,1174.170044,16.35,24.59162688,-8.241626877,PUT,1173.27002,-0.52,8.359985,-16.07689423,1169.170044,,,2010/2/4,可交易,,,1.01,1,1,2010/3/19,不可交易,,,1.08,9,2
2010/3/24,1167.719971,17.55,27.09919002,-9.549190017,PUT,1169.430054,1.2,-6.450073,-5.375060833,1162.719971,,,2010/2/4,可交易,,,1.01,1,1,2010/3/19,不可交易,,,1.08,9,2
2010/3/25,1165.72998,18.4,25.2382384,-6.838238403,PUT,1178.099976,0.85,-1.989991,-2.341165882,1160.72998,,,2010/2/4,可交易,,,1.01,1,1,2010/3/19,不可交易,,,1.08,9,2
2010/3/26,1166.589966,17.77,29.61527163,-11.84527163,PUT,0,-0.63,0.859986,-1.365057143,1161.589966,,,2010/2/4,可交易,,,1.01,1,1,2010/3/26,可交易,,,1.08,10,2
2010/3/29,1173.219971,17.59,29.34971825,-11.75971825,PUT,1187.439941,-0.18,6.630005,-36.83336111,1168.219971,,,2010/2/4,可交易,,,1.01,1,1,2010/3/26,不可交易,,,1.08,10,2
2010/3/30,1173.27002,17.13,29.34665391,-12.21665391,PUT,1189.439941,-0.46,0.050049,-0.108802174,1168.27002,,,2010/2/4,可交易,,,1.01,1,1,2010/3/26,不可交易,,,1.08,10,2
2010/3/31,1169.430054,17.59,27.30019082,-9.710190818,PUT,1182.449951,0.46,-3.839966,-8.347752174,1164.430054,,,2010/2/4,可交易,,,1.01,1,1,2010/3/26,不可交易,,,1.08,10,2
2010/4/1,1178.099976,17.47,25.91318418,-8.443184184,PUT,1186.439941,-0.12,8.669922,-72.24935,1173.099976,,,2010/2/4,可交易,,,1.01,1,1,2010/3/26,不可交易,,,1.08,10,2
2010/4/5,1187.439941,17.02,24.63540983,-7.615409832,PUT,1196.47998,-0.45,9.339965,-20.75547778,1182.439941,,,2010/2/4,可交易,,,1.01,1,1,2010/4/5,可交易,,,1.08,11,2
