DATE,SPX Close,VIX CLOSE,Predicted Price,minus,signal,7 day price,delta VIX,delta SPX,比率,buy price,7 day - buy price,buy-7day,CALL上次交易日期,CALL可交易訊號,CALL實際交易,CALL收益率,CALL累積收益率,call手續費,CALL交易次數,PUT上次交易日期,PUT可交易訊號,PUT實際交易,PUT收益率,PUT累積收益率,put 手續費,PUT交易次數
2010/1/4,1132.98999,20.04,20.39445874,-0.354458741,,,20.04,1132.98999,56.53642665,,,,1900/1/0,可交易,,,1,0,0,1900/1/0,可交易,,,1,0,0
2010/1/5,1136.52002,19.35,19.67352736,-0.323527356,,,-0.69,3.53003,-5.115985507,,,,1900/1/0,可交易,,,1,0,0,1900/1/0,可交易,,,1,0,0
2010/1/6,1137.140015,19.16,19.10939306,0.050606939,,,-0.19,0.619995,-3.263131579,,,,1900/1/0,可交易,,,1,0,0,1900/1/0,可交易,,,1,0,0
2010/1/7,1141.689941,19.06,18.97973473,0.08026527,,,-0.1,4.549926,-45.49926,,,,1900/1/0,可交易,,,1,0,0,1900/1/0,可交易,,,1,0,0
2010/1/8,1144.97998,18.13,18.42287242,-0.292872419,,,-0.93,3.290039,-3.537676344,,,,1900/1/0,可交易,,,1,0,0,1900/1/0,可交易,,,1,0,0
2010/1/11,1146.97998,17.55,17.53293825,0.01706175,,,-0.58,2,-3.448275862,,,,1900/1/0,可交易,,,1,0,0,1900/1/0,可交易,,,1,0,0
2010/1/12,1136.219971,18.25,19.02632924,-0.77632924,,,0.7,-10.760009,-15.37144143,,,,1900/1/0,可交易,,,1,0,0,1900/1/0,可交易,,,1,0,0
2010/1/13,1145.680054,17.85,18.36692435,-0.51692435,,,-0.4,9.460083,-23.6502075,,,,1900/1/0,可交易,,,1,0,0,1900/1/0,可交易,,,1,0,0
2010/1/14,1148.459961,17.63,17.74798675,-0.117986754,,,-0.22,2.779907,-12.63594091,,,,1900/1/0,可交易,,,1,0,0,1900/1/0,可交易,,,1,0,0
2010/1/15,1136.030029,17.91,18.6395043,-0.729504299,,,0.28,-12.429932,-44.39261429,,,,1900/1/0,可交易,,,1,0,0,1900/1/0,可交易,,,1,0,0
2010/1/19,1150.22998,17.58,17.96227252,-0.382272523,,,-0.33,14.199951,-43.03015455,,,,1900/1/0,可交易,,,1,0,0,1900/1/0,可交易,,,1,0,0
2010/1/20,1138.040039,18.68,19.34679428,-0.666794283,,,1.1,-12.189941,-11.08176455,,,,1900/1/0,可交易,,,1,0,0,1900/1/0,可交易,,,1,0,0
2010/1/21,1116.47998,22.27,21.07515051,1.194849489,CAll,1084.530029,3.59,-21.560059,-6.005587465,1121.47998,,,2010/1/21,可交易,,,1,1,0,1900/1/0,可交易,,,1,0,0
2010/1/22,1091.76001,27.31,26.070856,1.239144001,CAll,1073.869995,5.04,-24.71997,-4.904755952,1096.76001,,,2010/1/21,不可交易,,,1,1,0,1900/1/0,可交易,,,1,0,0
2010/1/25,1096.780029,25.41,25.11451524,0.29548476,,,-1.9,5.020019,-2.642115263,,,,2010/1/21,不可交易,,,1,1,0,1900/1/0,可交易,,,1,0,0
2010/1/26,1092.170044,24.55,23.71150256,0.838497441,,,-0.86,-4.609985,5.360447674,,,,2010/1/21,不可交易,,,1,1,0,1900/1/0,可交易,,,1,0,0
2010/1/27,1097.5,23.14,24.04365726,-0.90365726,,,-1.41,5.329956,-3.780110638,,,,2010/1/21,不可交易,,,1,1,0,1900/1/0,可交易,,,1,0,0
2010/1/28,1084.530029,23.73,24.65616593,-0.926165934,,,0.59,-12.969971,-21.98300169,,,,2010/1/21,可交易,,,1,1,0,1900/1/0,可交易,,,1,0,0
2010/1/29,1073.869995,24.62,23.56213597,1.057864031,CAll,1066.189941,0.89,-10.660034,-11.97756629,1078.869995,,,2010/1/29,可交易,,,1,2,0,1900/1/0,可交易,,,1,0,0
2010/2/1,1089.189941,22.59,22.8239064,-0.233906397,,,-2.03,15.319946,-7.546771429,,,,2010/1/29,不可交易,,,1,2,0,1900/1/0,可交易,,,1,0,0
2010/2/2,1103.319946,21.48,21.82881146,-0.348811456,,,-1.11,14.130005,-12.72973423,,,,2010/1/29,不可交易,,,1,2,0,1900/1/0,可交易,,,1,0,0
2010/2/3,1097.280029,21.6,21.58228677,0.017713229,,,0.12,-6.039917,-50.33264167,,,,2010/1/29,不可交易,,,1,2,0,1900/1/0,可交易,,,1,0,0
2010/2/4,1063.109985,26.08,25.20706545,0.872934547,,,4.48,-34.170044,-7.627241964,,,,2010/1/29,不可交易,,,1,2,0,1900/1/0,可交易,,,1,0,0
2010/2/5,1066.189941,26.11,27.76807031,-1.658070308,PUT,1075.51001,0.03,3.079956,102.6652,1061.189941,,,2010/1/29,可交易,,,1,2,0,2010/2/5,可交易,,,1,1,0
2010/2/8,1056.73999,26.51,26.63273199,-0.122731992,,,0.4,-9.449951,-23.6248775,,,,2010/1/29,可交易,,,1,2,0,2010/2/5,不可交易,,,1,1,0
2010/2/9,1070.52002,26,25.20756373,0.792436268,,,-0.51,13.78003,-27.01966667,,,,2010/1/29,可交易,,,1,2,0,2010/2/5,不可交易,,,1,1,0
2010/2/10,1068.130005,25.4,25.34167679,0.058323215,,,-0.6,-2.390015,3.983358333,,,,2010/1/29,可交易,,,1,2,0,2010/2/5,不可交易,,,1,1,0
2010/2/11,1078.469971,23.96,24.57429029,-0.614290289,,,-1.44,10.339966,-7.180531944,,,,2010/1/29,可交易,,,1,2,0,2010/2/5,不可交易,,,1,1,0
2010/2/12,1075.51001,22.73,24.25070814,-1.520708136,PUT,1109.170044,-1.23,-2.959961,2.406472358,1070.51001,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/2/16,1094.869995,22.25,22.7600996,-0.5100996,,,-0.48,19.359985,-40.33330208,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,不可交易,,,1,2,0
2010/2/17,1099.51001,21.72,22.027735,-0.307734996,,,-0.53,4.640015,-8.754745283,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,不可交易,,,1,2,0
2010/2/18,1106.75,20.63,21.27300337,-0.64300337,,,-1.09,7.23999,-6.642192661,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,不可交易,,,1,2,0
2010/2/19,1109.170044,20.02,20.20933886,-0.189338861,,,-0.61,2.420044,-3.967285246,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/2/22,1108.01001,19.94,20.34117286,-0.401172858,,,-0.08,-1.160034,14.500425,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/2/23,1094.599976,21.37,21.29545849,0.074541514,,,1.43,-13.410034,-9.377646154,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/2/24,1105.23999,20.27,20.69566295,-0.425662951,,,-1.1,10.640014,-9.67274,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/2/25,1102.939941,20.1,21.09012315,-0.990123153,,,-0.17,-2.300049,13.5297,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/2/26,1104.48999,19.5,20.07187042,-0.571870422,,,-0.6,1.550049,-2.583415,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/1,1115.709961,19.26,19.4446707,-0.184670704,,,-0.24,11.219971,-46.74987917,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/2,1118.310059,19.06,19.04813517,0.011864834,,,-0.2,2.600098,-13.00049,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/3,1118.790039,18.83,18.79428058,0.035719416,,,-0.23,0.47998,-2.086869565,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/4,1122.969971,18.72,18.93235548,-0.212355479,,,-0.11,4.179932,-37.99938182,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/5,1138.699951,17.42,17.54646779,-0.126467794,,,-1.3,15.72998,-12.09998462,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/8,1138.5,17.79,17.6844535,0.105546505,,,0.37,-0.199951,-0.540408108,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/9,1140.449951,17.92,17.67022363,0.249776373,,,0.13,1.949951,14.99962308,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/10,1145.609985,18.57,17.96141879,0.608581214,,,0.65,5.160034,7.938513846,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/11,1150.23999,18.06,18.4883482,-0.4283482,,,-0.51,4.630005,-9.078441176,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/12,1149.98999,17.58,18.16687558,-0.586875579,,,-0.48,-0.25,0.520833333,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/15,1150.51001,18,18.47771404,-0.47771404,,,0.42,0.52002,1.238142857,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/16,1159.459961,17.69,17.74184395,-0.051843949,,,-0.31,8.949951,-28.87080968,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/17,1166.209961,16.91,16.77843298,0.131567023,,,-0.78,6.75,-8.653846154,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/18,1165.829956,16.62,16.4821972,0.137802796,,,-0.29,-0.380005,1.310362069,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/19,1159.900024,16.97,17.14147764,-0.171477642,,,0.35,-5.929932,-16.94266286,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/22,1165.810059,16.87,17.22477491,-0.354774915,,,-0.1,5.910035,-59.10035,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/23,1174.170044,16.35,16.60768375,-0.257683745,,,-0.52,8.359985,-16.07689423,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/24,1167.719971,17.55,17.62313445,-0.073134451,,,1.2,-6.450073,-5.375060833,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/25,1165.72998,18.4,17.77553116,0.624468845,,,0.85,-1.989991,-2.341165882,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/26,1166.589966,17.77,17.77225527,-0.002255273,,,-0.63,0.859986,-1.365057143,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/29,1173.219971,17.59,17.81949646,-0.229496462,,,-0.18,6.630005,-36.83336111,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/30,1173.27002,17.13,17.60666315,-0.476663154,,,-0.46,0.050049,-0.108802174,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/3/31,1169.430054,17.59,17.64166857,-0.051668566,,,0.46,-3.839966,-8.347752174,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/1,1178.099976,17.47,17.60157192,-0.13157192,,,-0.12,8.669922,-72.24935,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/5,1187.439941,17.02,17.42282801,-0.402828011,,,-0.45,9.339965,-20.75547778,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/6,1189.439941,16.23,16.58697829,-0.356978294,,,-0.79,2,-2.53164557,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/7,1182.449951,16.62,16.69828168,-0.078281681,,,0.39,-6.98999,-17.92305128,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/8,1186.439941,16.48,16.95104144,-0.47104144,,,-0.14,3.98999,-28.49992857,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/9,1194.369995,16.14,16.43832174,-0.298321742,,,-0.34,7.930054,-23.32368824,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/12,1196.47998,15.58,15.61488983,-0.034889829,,,-0.56,2.109985,-3.767830357,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/13,1197.300049,16.2,16.40787781,-0.207877813,,,0.62,0.820069,1.322691935,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/14,1210.650024,15.59,16.05766946,-0.467669458,,,-0.61,13.349975,-21.88520492,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/15,1211.670044,15.89,16.24334716,-0.353347163,,,0.3,1.02002,3.400066667,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/16,1192.130005,18.36,18.6352306,-0.275230603,,,2.47,-19.540039,-7.910946964,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/19,1197.52002,17.34,18.1113481,-0.771348098,,,-1.02,5.390015,-5.284328431,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/20,1207.170044,15.73,16.16607977,-0.436079775,,,-1.61,9.650024,-5.993803727,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/21,1205.939941,16.32,16.29645605,0.023543949,,,0.59,-1.230103,-2.084920339,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/22,1208.670044,16.47,16.99941539,-0.529415386,,,0.15,2.730103,18.20068667,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/23,1217.280029,16.62,16.39124592,0.228754077,,,0.15,8.609985,57.3999,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/26,1212.050049,17.47,17.12012291,0.349877085,,,0.85,-5.22998,-6.152917647,,,,2010/1/29,可交易,,,1,2,0,2010/2/12,可交易,,,1,2,0
2010/4/27,1183.709961,22.81,21.47376248,1.336237519,CAll,1173.599976,5.34,-28.340088,-5.307132584,1188.709961,,,2010/4/27,可交易,,,1,3,0,2010/2/12,可交易,,,1,2,0
2010/4/28,1191.359985,21.08,21.58555047,-0.505550467,,,-1.73,7.650024,-4.421979191,,,,2010/4/27,不可交易,,,1,3,0,2010/2/12,可交易,,,1,2,0
2010/4/29,1206.780029,18.44,19.03527744,-0.595277435,,,-2.64,15.420044,-5.840925758,,,,2010/4/27,不可交易,,,1,3,0,2010/2/12,可交易,,,1,2,0
2010/4/30,1186.689941,22.05,21.10838523,0.94161477,,,3.61,-20.090088,-5.56512133,,,,2010/4/27,不可交易,,,1,3,0,2010/2/12,可交易,,,1,2,0
2010/5/3,1202.26001,20.19,20.12154135,0.068458652,,,-1.86,15.570069,-8.371004839,,,,2010/4/27,不可交易,,,1,3,0,2010/2/12,可交易,,,1,2,0
2010/5/4,1173.599976,23.84,24.71136907,-0.871369074,,,3.65,-28.660034,-7.85206411,,,,2010/4/27,可交易,,,1,3,0,2010/2/12,可交易,,,1,2,0
2010/5/5,1165.869995,24.91,25.29827719,-0.388277186,,,1.07,-7.729981,-7.224281308,,,,2010/4/27,可交易,,,1,3,0,2010/2/12,可交易,,,1,2,0
2010/5/6,1128.150024,32.8,35.18450033,-2.384500329,PUT,1157.439941,7.89,-37.719971,-4.780731432,1123.150024,,,2010/4/27,可交易,,,1,3,0,2010/5/6,可交易,,,1,3,0
2010/5/7,1110.880005,40.95,38.860006,2.089994,CAll,1135.680054,8.15,-17.270019,-2.119020736,1115.880005,19.8,,2010/5/7,可交易,19.8,0.02,1,3,1,2010/5/6,不可交易,,,1,3,0
2010/5/10,1159.72998,28.84,27.51549548,1.324504518,CAll,1136.939941,-12.11,48.849975,-4.033854253,1164.72998,,,2010/5/7,不可交易,,,1.02,3,1,2010/5/6,不可交易,,,1,3,0
2010/5/11,1155.790039,28.32,26.96294031,1.35705969,CAll,1120.800049,-0.52,-3.939941,7.576809615,1160.790039,,,2010/5/7,不可交易,,,1.02,3,1,2010/5/6,不可交易,,,1,3,0
2010/5/12,1171.670044,25.52,25.20367573,0.316324268,,,-2.8,15.880005,-5.671430357,,,,2010/5/7,不可交易,,,1.02,3,1,2010/5/6,不可交易,,,1,3,0
