Date,Open,High,Low,Close,Adj Close,Volume,DATE,OPEN,HIGH,LOW,CLOSE
1990/1/2,353.399994,359.690002,351.980011,359.690002,359.690002,162070000.0,01/02/1990,17.24,17.24,17.24,17.24
1990/1/3,359.690002,360.589996,357.890015,358.76001,358.76001,192330000.0,01/03/1990,18.19,18.19,18.19,18.19
1990/1/4,358.76001,358.76001,352.890015,355.670013,355.670013,177000000.0,01/04/1990,19.22,19.22,19.22,19.22
1990/1/5,355.670013,355.670013,351.350006,352.200012,352.200012,158530000.0,01/05/1990,20.11,20.11,20.11,20.11
1990/1/8,352.200012,354.23999,350.540009,353.790009,353.790009,140110000.0,01/08/1990,20.26,20.26,20.26,20.26
1990/1/9,353.829987,354.170013,349.609985,349.619995,349.619995,155210000.0,01/09/1990,22.2,22.2,22.2,22.2
1990/1/10,349.619995,349.619995,344.320007,347.309998,347.309998,175990000.0,01/10/1990,22.44,22.44,22.44,22.44
1990/1/11,347.309998,350.140015,347.309998,348.529999,348.529999,154390000.0,01/11/1990,20.05,20.05,20.05,20.05
1990/1/12,348.529999,348.529999,339.48999,339.929993,339.929993,183880000.0,01/12/1990,24.64,24.64,24.64,24.64
1990/1/15,339.929993,339.940002,336.570007,337.0,337.0,140590000.0,01/15/1990,26.34,26.34,26.34,26.34
1990/1/16,337.0,340.75,333.369995,340.75,340.75,186070000.0,01/16/1990,24.18,24.18,24.18,24.18
1990/1/17,340.769989,342.01001,336.26001,337.399994,337.399994,170470000.0,01/17/1990,24.16,24.16,24.16,24.16
1990/1/18,337.399994,338.380005,333.980011,338.190002,338.190002,178590000.0,01/18/1990,24.34,24.34,24.34,24.34
1990/1/19,338.190002,340.480011,338.190002,339.149994,339.149994,185590000.0,01/19/1990,22.5,22.5,22.5,22.5
1990/1/22,339.140015,339.959991,330.279999,330.380005,330.380005,148380000.0,01/22/1990,26.7,26.7,26.7,26.7
1990/1/23,330.380005,332.76001,328.670013,331.609985,331.609985,179300000.0,01/23/1990,24.72,24.72,24.72,24.72
1990/1/24,331.609985,331.709991,324.170013,330.26001,330.26001,207830000.0,01/24/1990,25.39,25.39,25.39,25.39
1990/1/25,330.26001,332.329987,325.329987,326.079987,326.079987,172270000.0,01/25/1990,25.63,25.63,25.63,25.63
1990/1/26,326.089996,328.579987,321.440002,325.799988,325.799988,198190000.0,01/26/1990,26.28,26.28,26.28,26.28
1990/1/29,325.799988,327.309998,321.790009,325.200012,325.200012,150770000.0,01/29/1990,26.44,26.44,26.44,26.44
1990/1/30,325.200012,325.730011,319.829987,322.980011,322.980011,186030000.0,01/30/1990,27.25,27.25,27.25,27.25
1990/1/31,322.980011,329.079987,322.980011,329.079987,329.079987,189660000.0,01/31/1990,25.36,25.36,25.36,25.36
1990/2/1,329.079987,329.859985,327.76001,328.790009,328.790009,154580000.0,02/01/1990,24.87,24.87,24.87,24.87
1990/2/2,328.790009,332.100006,328.089996,330.920013,330.920013,164400000.0,02/02/1990,24.32,24.32,24.32,24.32
1990/2/5,330.920013,332.160004,330.450012,331.850006,331.850006,130950000.0,02/05/1990,24.54,24.54,24.54,24.54
1990/2/6,331.850006,331.859985,328.200012,329.660004,329.660004,134070000.0,02/06/1990,24.69,24.69,24.69,24.69
1990/2/7,329.660004,333.76001,326.549988,333.75,333.75,186710000.0,02/07/1990,24.29,24.29,24.29,24.29
1990/2/8,333.75,336.089996,332.0,332.959991,332.959991,176240000.0,02/08/1990,23.77,23.77,23.77,23.77
1990/2/9,333.019989,334.600006,332.410004,333.619995,333.619995,146910000.0,02/09/1990,23.69,23.69,23.69,23.69
1990/2/12,333.619995,333.619995,329.970001,330.079987,330.079987,118390000.0,02/12/1990,24.38,24.38,24.38,24.38
1990/2/13,330.079987,331.609985,327.920013,331.019989,331.019989,144490000.0,02/13/1990,23.76,23.76,23.76,23.76
1990/2/14,331.019989,333.200012,330.640015,332.01001,332.01001,138530000.0,02/14/1990,22.05,22.05,22.05,22.05
1990/2/15,332.01001,335.209991,331.609985,334.890015,334.890015,174620000.0,02/15/1990,19.71,19.71,19.71,19.71
1990/2/16,334.890015,335.640015,332.420013,332.720001,332.720001,166840000.0,02/16/1990,20.78,20.78,20.78,20.78
1990/2/20,332.720001,332.720001,326.26001,327.98999,327.98999,147300000.0,02/20/1990,22.78,22.78,22.78,22.78
1990/2/21,327.910004,328.170013,324.470001,327.670013,327.670013,159240000.0,02/21/1990,23.89,23.89,23.89,23.89
1990/2/22,327.670013,330.980011,325.700012,325.700012,325.700012,184320000.0,02/22/1990,22.54,22.54,22.54,22.54
1990/2/23,325.700012,326.149994,322.100006,324.149994,324.149994,148490000.0,02/23/1990,23.69,23.69,23.69,23.69
1990/2/26,324.160004,328.670013,323.980011,328.670013,328.670013,148900000.0,02/26/1990,23.56,23.56,23.56,23.56
1990/2/27,328.679993,331.940002,328.470001,330.26001,330.26001,152590000.0,02/27/1990,22.69,22.69,22.69,22.69
1990/2/28,330.26001,333.480011,330.160004,331.890015,331.890015,184400000.0,02/28/1990,21.99,21.99,21.99,21.99
1990/3/1,331.890015,334.399994,331.079987,332.73999,332.73999,157930000.0,03/01/1990,21.9,21.9,21.9,21.9
1990/3/2,332.73999,335.540009,332.720001,335.540009,335.540009,164330000.0,03/02/1990,21.34,21.34,21.34,21.34
1990/3/5,335.540009,336.380005,333.48999,333.73999,333.73999,140110000.0,03/05/1990,22.03,22.03,22.03,22.03
1990/3/6,333.73999,337.929993,333.570007,337.929993,337.929993,143640000.0,03/06/1990,20.55,20.55,20.55,20.55
1990/3/7,337.929993,338.839996,336.329987,336.950012,336.950012,163580000.0,03/07/1990,19.1,19.1,19.1,19.1
1990/3/8,336.950012,340.660004,336.950012,340.269989,340.269989,170900000.0,03/08/1990,19.74,19.74,19.74,19.74
1990/3/9,340.119995,340.269989,336.839996,337.929993,337.929993,150410000.0,03/09/1990,20.3,20.3,20.3,20.3
1990/3/12,337.929993,339.079987,336.140015,338.670013,338.670013,114790000.0,03/12/1990,20.07,20.07,20.07,20.07
1990/3/13,338.670013,338.670013,335.359985,336.0,336.0,145440000.0,03/13/1990,21.05,21.05,21.05,21.05
1990/3/14,336.0,337.630005,334.929993,336.869995,336.869995,145060000.0,03/14/1990,19.65,19.65,19.65,19.65
1990/3/15,336.869995,338.910004,336.869995,338.070007,338.070007,144410000.0,03/15/1990,18.81,18.81,18.81,18.81
1990/3/16,338.070007,341.910004,338.070007,341.910004,341.910004,222520000.0,03/16/1990,17.62,17.62,17.62,17.62
1990/3/19,341.910004,343.76001,339.119995,343.529999,343.529999,142300000.0,03/19/1990,18.29,18.29,18.29,18.29
1990/3/20,343.529999,344.48999,340.869995,341.570007,341.570007,177320000.0,03/20/1990,19.06,19.06,19.06,19.06
1990/3/21,341.570007,342.339996,339.559998,339.73999,339.73999,130990000.0,03/21/1990,20.1,20.1,20.1,20.1
1990/3/22,339.73999,339.769989,333.619995,335.690002,335.690002,175930000.0,03/22/1990,22.74,22.74,22.74,22.74
1990/3/23,335.690002,337.579987,335.690002,337.220001,337.220001,132070000.0,03/23/1990,20.46,20.46,20.46,20.46
1990/3/26,337.220001,339.73999,337.220001,337.630005,337.630005,116110000.0,03/26/1990,19.59,19.59,19.59,19.59
1990/3/27,337.630005,341.5,337.029999,341.5,341.5,131610000.0,03/27/1990,21.01,21.01,21.01,21.01
1990/3/28,341.5,342.579987,340.600006,342.0,342.0,142300000.0,03/28/1990,19.77,19.77,19.77,19.77
1990/3/29,342.0,342.070007,339.769989,340.790009,340.790009,132190000.0,03/29/1990,18.46,18.46,18.46,18.46
1990/3/30,340.790009,341.410004,338.209991,339.940002,339.940002,139340000.0,03/30/1990,19.73,19.73,19.73,19.73
1990/4/2,339.940002,339.940002,336.329987,338.700012,338.700012,124360000.0,04/02/1990,22.84,22.84,22.84,22.84
1990/4/3,338.700012,343.76001,338.700012,343.640015,343.640015,154310000.0,04/03/1990,20.44,20.44,20.44,20.44
1990/4/4,343.640015,344.119995,340.399994,341.089996,341.089996,159530000.0,04/04/1990,22.03,22.03,22.03,22.03
1990/4/5,341.089996,342.850006,340.630005,340.730011,340.730011,144170000.0,04/05/1990,21.21,21.21,21.21,21.21
1990/4/6,340.730011,341.730011,338.940002,340.079987,340.079987,137490000.0,04/06/1990,21.76,21.76,21.76,21.76
1990/4/9,340.079987,341.829987,339.880005,341.369995,341.369995,114970000.0,04/09/1990,22.3,22.3,22.3,22.3
1990/4/10,341.369995,342.410004,340.619995,342.070007,342.070007,136020000.0,04/10/1990,21.69,21.69,21.69,21.69
1990/4/11,342.070007,343.0,341.26001,341.920013,341.920013,141080000.0,04/11/1990,17.73,17.73,17.73,17.73
1990/4/12,341.920013,344.790009,341.910004,344.339996,344.339996,142470000.0,04/12/1990,19.8,19.8,19.8,19.8
1990/4/16,344.339996,347.299988,344.100006,344.73999,344.73999,142810000.0,04/16/1990,20.75,20.75,20.75,20.75
1990/4/17,344.73999,345.190002,342.059998,344.679993,344.679993,127990000.0,04/17/1990,20.38,20.38,20.38,20.38
1990/4/18,344.679993,345.329987,340.109985,340.720001,340.720001,147130000.0,04/18/1990,22.67,22.67,22.67,22.67
1990/4/19,340.720001,340.720001,337.589996,338.089996,338.089996,152930000.0,04/19/1990,22.46,22.46,22.46,22.46
1990/4/20,338.089996,338.519989,333.410004,335.119995,335.119995,174260000.0,04/20/1990,23.33,23.33,23.33,23.33
1990/4/23,335.119995,335.119995,330.089996,331.049988,331.049988,136150000.0,04/23/1990,24.16,24.16,24.16,24.16
1990/4/24,331.049988,332.970001,329.709991,330.359985,330.359985,137360000.0,04/24/1990,21.7,21.7,21.7,21.7
1990/4/25,330.359985,332.73999,330.359985,332.029999,332.029999,133480000.0,04/25/1990,20.86,20.86,20.86,20.86
1990/4/26,332.029999,333.76001,330.670013,332.920013,332.920013,141330000.0,04/26/1990,20.25,20.25,20.25,20.25
1990/4/27,332.920013,333.570007,328.709991,329.109985,329.109985,130630000.0,04/27/1990,22.19,22.19,22.19,22.19
